,,,JamesSteinEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.556 ±0.152
codling,KNeighborsRegressor,MAE,0.202 ±0.042
codling,KNeighborsRegressor,R2,0.701 ±0.059
codling,SVR,RMSE,0.552 ±0.255
codling,SVR,MAE,0.135 ±0.024
codling,SVR,R2,0.717 ±0.138
codling,RandomForestRegressor,RMSE,0.462 ±0.146
codling,RandomForestRegressor,MAE,0.132 ±0.024
codling,RandomForestRegressor,R2,0.789 ±0.079
codling,GradientBoostingRegressor,RMSE,0.477 ±0.155
codling,GradientBoostingRegressor,MAE,0.104 ±0.023
codling,GradientBoostingRegressor,R2,0.767 ±0.112
codling,MLPRegressor,RMSE,0.277 ±0.093
codling,MLPRegressor,MAE,0.121 ±0.034
codling,MLPRegressor,R2,0.919 ±0.044
codling,MLPRegressor2,RMSE,0.256 ±0.097
codling,MLPRegressor2,MAE,0.098 ±0.019
codling,MLPRegressor2,R2,0.928 ±0.046
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.806 ±0.003
nassCDS,SVR,MAE,0.532 ±0.006
nassCDS,SVR,R2,0.350 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.785 ±0.004
nassCDS,MLPRegressor,MAE,0.564 ±0.006
nassCDS,MLPRegressor,R2,0.384 ±0.006
nassCDS,MLPRegressor2,RMSE,0.816 ±0.006
nassCDS,MLPRegressor2,MAE,0.566 ±0.009
nassCDS,MLPRegressor2,R2,0.334 ±0.009
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.276 ±1.296
races2000,KNeighborsRegressor,MAE,0.075 ±0.043
races2000,KNeighborsRegressor,R2,0.488 ±0.223
races2000,SVR,RMSE,1.366 ±1.429
races2000,SVR,MAE,0.073 ±0.040
races2000,SVR,R2,0.461 ±0.314
races2000,RandomForestRegressor,RMSE,1.144 ±1.256
races2000,RandomForestRegressor,MAE,0.050 ±0.034
races2000,RandomForestRegressor,R2,0.616 ±0.207
races2000,GradientBoostingRegressor,RMSE,1.094 ±1.216
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.615 ±0.196
races2000,MLPRegressor,RMSE,0.527 ±0.757
races2000,MLPRegressor,MAE,0.054 ±0.032
races2000,MLPRegressor,R2,0.912 ±0.093
races2000,MLPRegressor2,RMSE,0.409 ±0.564
races2000,MLPRegressor2,MAE,0.065 ±0.052
races2000,MLPRegressor2,R2,0.925 ±0.119
terrorism,ElasticNet,RMSE,5.445 ±5.350
terrorism,ElasticNet,MAE,0.377 ±0.193
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.403 ±5.434
terrorism,KNeighborsRegressor,MAE,0.295 ±0.276
terrorism,KNeighborsRegressor,R2,-0.773 ±1.922
terrorism,SVR,RMSE,5.397 ±5.405
terrorism,SVR,MAE,0.208 ±0.145
terrorism,SVR,R2,-1.176 ±1.539
terrorism,RandomForestRegressor,RMSE,5.466 ±5.376
terrorism,RandomForestRegressor,MAE,0.284 ±0.263
terrorism,RandomForestRegressor,R2,-7.144 ±17.994
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.348
terrorism,GradientBoostingRegressor,MAE,0.285 ±0.296
terrorism,GradientBoostingRegressor,R2,-17.456 ±45.988
terrorism,MLPRegressor,RMSE,5.677 ±5.303
terrorism,MLPRegressor,MAE,0.417 ±0.323
terrorism,MLPRegressor,R2,-19.849 ±25.865
terrorism,MLPRegressor2,RMSE,5.706 ±5.369
terrorism,MLPRegressor2,MAE,0.378 ±0.305
terrorism,MLPRegressor2,R2,-17.275 ±23.596
midwest,ElasticNet,RMSE,0.805 ±0.107
midwest,ElasticNet,MAE,0.484 ±0.056
midwest,ElasticNet,R2,0.358 ±0.043
midwest,KNeighborsRegressor,RMSE,0.550 ±0.069
midwest,KNeighborsRegressor,MAE,0.310 ±0.034
midwest,KNeighborsRegressor,R2,0.700 ±0.027
midwest,SVR,RMSE,0.619 ±0.114
midwest,SVR,MAE,0.340 ±0.046
midwest,SVR,R2,0.622 ±0.064
