,,,JamesSteinEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.556 ±0.152
codling,KNeighborsRegressor,MAE,0.202 ±0.042
codling,KNeighborsRegressor,R2,0.701 ±0.059
codling,SVR,RMSE,0.552 ±0.255
codling,SVR,MAE,0.135 ±0.024
codling,SVR,R2,0.717 ±0.138
codling,RandomForestRegressor,RMSE,0.461 ±0.148
codling,RandomForestRegressor,MAE,0.132 ±0.030
codling,RandomForestRegressor,R2,0.789 ±0.089
codling,GradientBoostingRegressor,RMSE,0.480 ±0.156
codling,GradientBoostingRegressor,MAE,0.103 ±0.023
codling,GradientBoostingRegressor,R2,0.763 ±0.114
codling,MLPRegressor,RMSE,0.286 ±0.094
codling,MLPRegressor,MAE,0.118 ±0.025
codling,MLPRegressor,R2,0.912 ±0.048
codling,MLPRegressor2,RMSE,0.264 ±0.114
codling,MLPRegressor2,MAE,0.096 ±0.014
codling,MLPRegressor2,R2,0.921 ±0.067
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.806 ±0.003
nassCDS,SVR,MAE,0.532 ±0.006
nassCDS,SVR,R2,0.350 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.784 ±0.004
nassCDS,MLPRegressor,MAE,0.564 ±0.005
nassCDS,MLPRegressor,R2,0.385 ±0.006
nassCDS,MLPRegressor2,RMSE,0.816 ±0.006
nassCDS,MLPRegressor2,MAE,0.567 ±0.008
nassCDS,MLPRegressor2,R2,0.335 ±0.010
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.276 ±1.296
races2000,KNeighborsRegressor,MAE,0.075 ±0.043
races2000,KNeighborsRegressor,R2,0.488 ±0.223
races2000,SVR,RMSE,1.366 ±1.429
races2000,SVR,MAE,0.073 ±0.040
races2000,SVR,R2,0.461 ±0.314
races2000,RandomForestRegressor,RMSE,1.139 ±1.254
races2000,RandomForestRegressor,MAE,0.048 ±0.032
races2000,RandomForestRegressor,R2,0.617 ±0.209
races2000,GradientBoostingRegressor,RMSE,1.097 ±1.216
races2000,GradientBoostingRegressor,MAE,0.052 ±0.035
races2000,GradientBoostingRegressor,R2,0.596 ±0.235
races2000,MLPRegressor,RMSE,0.546 ±0.797
races2000,MLPRegressor,MAE,0.051 ±0.031
races2000,MLPRegressor,R2,0.900 ±0.110
races2000,MLPRegressor2,RMSE,0.448 ±0.639
races2000,MLPRegressor2,MAE,0.062 ±0.050
races2000,MLPRegressor2,R2,0.931 ±0.068
terrorism,ElasticNet,RMSE,5.445 ±5.350
terrorism,ElasticNet,MAE,0.377 ±0.193
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.403 ±5.434
terrorism,KNeighborsRegressor,MAE,0.295 ±0.276
terrorism,KNeighborsRegressor,R2,-0.773 ±1.922
terrorism,SVR,RMSE,5.397 ±5.405
terrorism,SVR,MAE,0.208 ±0.145
terrorism,SVR,R2,-1.176 ±1.539
terrorism,RandomForestRegressor,RMSE,5.468 ±5.375
terrorism,RandomForestRegressor,MAE,0.290 ±0.280
terrorism,RandomForestRegressor,R2,-7.823 ±20.694
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.279 ±0.293
terrorism,GradientBoostingRegressor,R2,-17.446 ±45.996
terrorism,MLPRegressor,RMSE,5.761 ±5.331
terrorism,MLPRegressor,MAE,0.386 ±0.289
terrorism,MLPRegressor,R2,-24.090 ±39.224
terrorism,MLPRegressor2,RMSE,5.702 ±5.332
terrorism,MLPRegressor2,MAE,0.388 ±0.297
terrorism,MLPRegressor2,R2,-19.748 ±30.182
midwest,ElasticNet,RMSE,0.805 ±0.107
midwest,ElasticNet,MAE,0.484 ±0.056
midwest,ElasticNet,R2,0.358 ±0.043
midwest,KNeighborsRegressor,RMSE,0.550 ±0.069
midwest,KNeighborsRegressor,MAE,0.310 ±0.034
midwest,KNeighborsRegressor,R2,0.700 ±0.027
midwest,SVR,RMSE,0.619 ±0.114
midwest,SVR,MAE,0.340 ±0.046
midwest,SVR,R2,0.622 ±0.064
