,,,PolynomialEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.561 ±0.155
codling,KNeighborsRegressor,MAE,0.222 ±0.053
codling,KNeighborsRegressor,R2,0.696 ±0.056
codling,SVR,RMSE,0.541 ±0.245
codling,SVR,MAE,0.141 ±0.024
codling,SVR,R2,0.729 ±0.129
codling,RandomForestRegressor,RMSE,0.467 ±0.145
codling,RandomForestRegressor,MAE,0.143 ±0.030
codling,RandomForestRegressor,R2,0.781 ±0.092
codling,GradientBoostingRegressor,RMSE,0.478 ±0.156
codling,GradientBoostingRegressor,MAE,0.102 ±0.021
codling,GradientBoostingRegressor,R2,0.763 ±0.120
codling,MLPRegressor,RMSE,0.328 ±0.114
codling,MLPRegressor,MAE,0.125 ±0.029
codling,MLPRegressor,R2,0.884 ±0.065
codling,MLPRegressor2,RMSE,0.272 ±0.096
codling,MLPRegressor2,MAE,0.106 ±0.021
codling,MLPRegressor2,R2,0.921 ±0.048
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.893 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.202 ±0.007
nassCDS,SVR,RMSE,0.812 ±0.004
nassCDS,SVR,MAE,0.525 ±0.005
nassCDS,SVR,R2,0.341 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.569 ±0.005
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.795 ±0.004
nassCDS,MLPRegressor,MAE,0.570 ±0.009
nassCDS,MLPRegressor,R2,0.368 ±0.007
nassCDS,MLPRegressor2,RMSE,0.867 ±0.008
nassCDS,MLPRegressor2,MAE,0.593 ±0.009
nassCDS,MLPRegressor2,R2,0.249 ±0.011
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.281 ±1.292
races2000,KNeighborsRegressor,MAE,0.081 ±0.047
races2000,KNeighborsRegressor,R2,0.471 ±0.213
races2000,SVR,RMSE,1.370 ±1.433
races2000,SVR,MAE,0.072 ±0.033
races2000,SVR,R2,0.459 ±0.317
races2000,RandomForestRegressor,RMSE,1.156 ±1.259
races2000,RandomForestRegressor,MAE,0.049 ±0.033
races2000,RandomForestRegressor,R2,0.600 ±0.206
races2000,GradientBoostingRegressor,RMSE,1.112 ±1.217
races2000,GradientBoostingRegressor,MAE,0.050 ±0.033
races2000,GradientBoostingRegressor,R2,0.546 ±0.374
races2000,MLPRegressor,RMSE,0.556 ±0.720
races2000,MLPRegressor,MAE,0.057 ±0.031
races2000,MLPRegressor,R2,0.870 ±0.160
races2000,MLPRegressor2,RMSE,0.430 ±0.591
races2000,MLPRegressor2,MAE,0.057 ±0.043
races2000,MLPRegressor2,R2,0.928 ±0.073
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.405 ±5.412
terrorism,KNeighborsRegressor,MAE,0.329 ±0.290
terrorism,KNeighborsRegressor,R2,-1.219 ±2.219
terrorism,SVR,RMSE,5.400 ±5.407
terrorism,SVR,MAE,0.202 ±0.143
terrorism,SVR,R2,-1.163 ±1.516
terrorism,RandomForestRegressor,RMSE,5.463 ±5.375
terrorism,RandomForestRegressor,MAE,0.307 ±0.294
terrorism,RandomForestRegressor,R2,-7.250 ±19.958
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.350
terrorism,GradientBoostingRegressor,MAE,0.280 ±0.291
terrorism,GradientBoostingRegressor,R2,-17.439 ±46.017
terrorism,MLPRegressor,RMSE,5.703 ±5.378
terrorism,MLPRegressor,MAE,0.383 ±0.284
terrorism,MLPRegressor,R2,-15.305 ±19.469
terrorism,MLPRegressor2,RMSE,5.665 ±5.334
terrorism,MLPRegressor2,MAE,0.383 ±0.297
terrorism,MLPRegressor2,R2,-17.475 ±26.281
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.486 ±0.064
midwest,KNeighborsRegressor,MAE,0.265 ±0.028
midwest,KNeighborsRegressor,R2,0.766 ±0.025
midwest,SVR,RMSE,0.443 ±0.113
midwest,SVR,MAE,0.175 ±0.019
midwest,SVR,R2,0.806 ±0.058
