,,,OneHotEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.561 ±0.155
codling,KNeighborsRegressor,MAE,0.222 ±0.053
codling,KNeighborsRegressor,R2,0.696 ±0.056
codling,SVR,RMSE,0.556 ±0.249
codling,SVR,MAE,0.145 ±0.026
codling,SVR,R2,0.713 ±0.133
codling,RandomForestRegressor,RMSE,0.465 ±0.148
codling,RandomForestRegressor,MAE,0.130 ±0.031
codling,RandomForestRegressor,R2,0.785 ±0.088
codling,GradientBoostingRegressor,RMSE,0.475 ±0.155
codling,GradientBoostingRegressor,MAE,0.100 ±0.021
codling,GradientBoostingRegressor,R2,0.767 ±0.117
codling,MLPRegressor,RMSE,0.304 ±0.095
codling,MLPRegressor,MAE,0.130 ±0.030
codling,MLPRegressor,R2,0.901 ±0.057
codling,MLPRegressor2,RMSE,0.280 ±0.109
codling,MLPRegressor2,MAE,0.103 ±0.026
codling,MLPRegressor2,R2,0.914 ±0.059
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.893 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.202 ±0.007
nassCDS,SVR,RMSE,0.812 ±0.004
nassCDS,SVR,MAE,0.525 ±0.005
nassCDS,SVR,R2,0.341 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.806 ±0.003
nassCDS,RandomForestRegressor,MAE,0.557 ±0.007
nassCDS,RandomForestRegressor,R2,0.350 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.573 ±0.005
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.795 ±0.005
nassCDS,MLPRegressor,MAE,0.567 ±0.007
nassCDS,MLPRegressor,R2,0.367 ±0.008
nassCDS,MLPRegressor2,RMSE,0.870 ±0.008
nassCDS,MLPRegressor2,MAE,0.594 ±0.012
nassCDS,MLPRegressor2,R2,0.243 ±0.014
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.281 ±1.292
races2000,KNeighborsRegressor,MAE,0.081 ±0.047
races2000,KNeighborsRegressor,R2,0.471 ±0.213
races2000,SVR,RMSE,1.381 ±1.436
races2000,SVR,MAE,0.073 ±0.034
races2000,SVR,R2,0.444 ±0.318
races2000,RandomForestRegressor,RMSE,1.152 ±1.256
races2000,RandomForestRegressor,MAE,0.049 ±0.033
races2000,RandomForestRegressor,R2,0.595 ±0.231
races2000,GradientBoostingRegressor,RMSE,1.125 ±1.208
races2000,GradientBoostingRegressor,MAE,0.051 ±0.035
races2000,GradientBoostingRegressor,R2,0.462 ±0.645
races2000,MLPRegressor,RMSE,0.540 ±0.742
races2000,MLPRegressor,MAE,0.058 ±0.039
races2000,MLPRegressor,R2,0.875 ±0.141
races2000,MLPRegressor2,RMSE,0.421 ±0.605
races2000,MLPRegressor2,MAE,0.056 ±0.038
races2000,MLPRegressor2,R2,0.934 ±0.067
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.405 ±5.412
terrorism,KNeighborsRegressor,MAE,0.329 ±0.290
terrorism,KNeighborsRegressor,R2,-1.219 ±2.219
terrorism,SVR,RMSE,5.399 ±5.407
terrorism,SVR,MAE,0.202 ±0.144
terrorism,SVR,R2,-1.153 ±1.495
terrorism,RandomForestRegressor,RMSE,5.467 ±5.379
terrorism,RandomForestRegressor,MAE,0.301 ±0.285
terrorism,RandomForestRegressor,R2,-7.021 ±17.404
terrorism,GradientBoostingRegressor,RMSE,5.536 ±5.348
terrorism,GradientBoostingRegressor,MAE,0.287 ±0.294
terrorism,GradientBoostingRegressor,R2,-17.459 ±46.003
terrorism,MLPRegressor,RMSE,5.707 ±5.335
terrorism,MLPRegressor,MAE,0.385 ±0.267
terrorism,MLPRegressor,R2,-18.356 ±23.916
terrorism,MLPRegressor2,RMSE,5.685 ±5.380
terrorism,MLPRegressor2,MAE,0.395 ±0.317
terrorism,MLPRegressor2,R2,-14.872 ±20.712
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.486 ±0.065
midwest,KNeighborsRegressor,MAE,0.266 ±0.028
midwest,KNeighborsRegressor,R2,0.765 ±0.025
midwest,SVR,RMSE,0.443 ±0.114
midwest,SVR,MAE,0.178 ±0.019
midwest,SVR,R2,0.806 ±0.058
